nb_mentions_global_g,nb_candidats_g,pourcent_mention_par_candidat_g,taux_de_reussite_g,note_a_l_ecrit_g,nb_mentions_b_g,pourcent_mentions_b_g,secteur,code_departement
20,48,41.6666666666667,69.0,8.9,9,45,0,18
20,49,40.8163265306122,78.0,6.5,5,25,0,972
21,30,70,80.0,8.6,6,28.5714285714286,0,40
21,30,70,87.0,11.3,5,23.8095238095238,1,47
21,30,70,93.0,11.2,9,42.8571428571429,1,72
21,31,67.741935483871,94.0,11.2,6,28.5714285714286,0,61
21,31,67.741935483871,97.0,12.0,10,47.6190476190476,0,3
21,32,65.625,75.0,8.9,5,23.8095238095238,1,33
21,32,65.625,88.0,9.9,3,14.2857142857143,0,59
21,32,65.625,97.0,10.6,9,42.8571428571429,0,18
21,32,65.625,100.0,11.7,6,28.5714285714286,1,50
21,33,63.6363636363636,85.0,11.0,8,38.0952380952381,0,56
21,33,63.6363636363636,91.0,9.7,7,33.3333333333333,0,55
21,33,63.6363636363636,94.0,9.6,7,33.3333333333333,1,41
21,33,63.6363636363636,94.0,10.1,5,23.8095238095238,0,87
21,35,60,89.0,10.3,10,47.6190476190476,0,53
21,36,58.3333333333333,86.0,8.3,9,42.8571428571429,1,11
21,36,58.3333333333333,89.0,11.6,8,38.0952380952381,1,2
21,36,58.3333333333333,94.0,10.7,10,47.6190476190476,1,57
21,37,56.7567567567568,86.0,9.5,8,38.0952380952381,0,16
21,40,52.5,80.0,9.7,6,28.5714285714286,1,44
21,42,50,69.0,9.4,9,42.8571428571429,0,24
21,44,47.7272727272727,86.0,9.8,5,23.8095238095238,0,86
21,52,40.3846153846154,73.0,8.1,3,14.2857142857143,0,59
21,57,36.8421052631579,68.0,8.0,7,33.3333333333333,0,44
21,60,35,63.0,7.9,6,28.5714285714286,0,37
21,62,33.8709677419355,69.0,7.6,10,47.6190476190476,0,971
21,63,33.3333333333333,70.0,8.7,4,19.047619047619,0,14
21,97,21.6494845360825,65.0,4.9,5,23.8095238095238,0,973
22,30,73.3333333333333,87.0,9.4,5,22.7272727272727,0,31
22,31,70.9677419354839,100.0,10.4,6,27.2727272727273,1,59
22,32,68.75,81.0,9.8,11,50,1,73
22,32,68.75,88.0,10.4,11,50,0,36
22,33,66.6666666666667,85.0,10.2,4,18.1818181818182,0,52
22,33,66.6666666666667,88.0,10.1,8,36.3636363636364,0,14
22,33,66.6666666666667,97.0,10.6,6,27.2727272727273,1,41
22,34,64.7058823529412,85.0,10.2,7,31.8181818181818,0,16
22,34,64.7058823529412,91.0,11.2,5,22.7272727272727,0,52
22,35,62.8571428571429,89.0,10.3,10,45.4545454545455,0,50
22,35,62.8571428571429,89.0,10.4,5,22.7272727272727,0,36
22,36,61.1111111111111,83.0,10.0,9,40.9090909090909,0,87
22,36,61.1111111111111,89.0,9.8,7,31.8181818181818,0,61
22,36,61.1111111111111,89.0,11.0,6,27.2727272727273,0,72
22,37,59.4594594594595,76.0,8.9,8,36.3636363636364,0,16
22,37,59.4594594594595,81.0,10.4,4,18.1818181818182,0,3
22,38,57.8947368421053,84.0,8.4,6,27.2727272727273,0,89
22,41,53.6585365853659,80.0,9.8,9,40.9090909090909,0,86
22,42,52.3809523809524,83.0,10.9,3,13.6363636363636,0,36
22,43,51.1627906976744,86.0,9.4,9,40.9090909090909,0,59
22,44,50,75.0,8.2,10,45.4545454545455,1,59
22,47,46.8085106382979,87.0,9.4,4,18.1818181818182,0,61
22,61,36.0655737704918,85.0,8.2,14,63.6363636363636,0,972
22,62,35.4838709677419,58.0,5.9,3,13.6363636363636,0,2
22,63,34.9206349206349,65.0,9.1,4,18.1818181818182,0,16
22,63,34.9206349206349,84.0,7.8,5,22.7272727272727,0,59
22,74,29.7297297297297,69.0,7.0,4,18.1818181818182,0,971
23,30,76.6666666666667,93.0,11.7,6,26.0869565217391,0,94
23,31,74.1935483870968,87.0,12.3,7,30.4347826086957,0,52
23,31,74.1935483870968,97.0,10.0,10,43.4782608695652,0,52
23,31,74.1935483870968,97.0,10.4,6,26.0869565217391,1,60
23,32,71.875,94.0,11.5,10,43.4782608695652,1,18
23,33,69.6969696969697,85.0,10.2,11,47.8260869565217,0,16
23,33,69.6969696969697,91.0,7.7,7,30.4347826086957,1,68
23,33,69.6969696969697,97.0,10.9,7,30.4347826086957,0,88
23,34,67.6470588235294,88.0,9.3,10,43.4782608695652,0,16
23,34,67.6470588235294,91.0,11.4,6,26.0869565217391,0,12
23,35,65.7142857142857,86.0,11.1,12,52.1739130434783,1,51
